Gene ID,Total,GB,Exon,Intron,P,P250,P1K,P5K,Flanks,Gene symbol,Gene name
106566689,7,0,0,0,7,0,1,6,0,LOC106566689,MAM domain-containing protein 2-like
106572512,6,0,0,0,6,6,0,0,0,LOC106572512,"glutamate receptor ionotropic, NMDA 3A-like"
106568987,6,0,0,0,6,0,0,6,0,LOC106568987,"volume-regulated anion channel subunit LRRC8D-like, transcript variant X2"
106578448,6,0,0,0,6,0,0,6,0,LOC106578448,"aristaless-related homeobox protein-like, transcript variant X1"
106570383,7,1,0,1,6,0,0,6,0,LOC106570383,triple functional domain protein-like
106604650,5,0,0,0,5,0,0,5,0,LOC106604650,"myeloid zinc finger 1-like, transcript variant X2"
106560720,5,0,0,0,5,0,0,5,0,tsg101,tumor susceptibility 101
106566099,5,0,0,0,5,0,0,5,0,LOC106566099,radical S-adenosyl methionine domain-containing protein 2-like
100194545,5,0,0,0,5,0,0,5,0,"suppressor of defective silencing 3 homolog (SDS3, S. cerevisiae)","suppressor of defective silencing 3 homolog (SDS3, S. cerevisiae)"
106576052,7,2,0,2,5,0,0,5,0,LOC106576052,"transcription factor EC-like, transcript variant X3"
106592999,4,0,0,0,4,0,4,0,0,LOC106592999,uncharacterized protein C10orf107 homolog
106602592,4,0,0,0,4,0,0,4,0,rin3,"Ras and Rab interactor 3, transcript variant X2"
106607973,4,0,0,0,4,0,0,4,0,LOC106607973,"pre-mRNA-splicing regulator WTAP-like, transcript variant X2"
106608776,4,0,0,0,4,0,0,4,0,LOC106608776,E3 ubiquitin-protein ligase KEG-like
106561821,4,0,0,0,4,0,0,4,0,LOC106561821,zonadhesin-like
106562142,4,0,0,0,4,0,0,4,0,LOC106562142,UPF0583 protein C15orf59 homolog
106562942,4,0,0,0,4,0,0,4,0,ankra2,"ankyrin repeat, family A (RFXANK-like), 2"
100196153,4,0,0,0,4,0,0,4,0,"heat shock protein, alpha-crystallin-related, 1","heat shock protein, alpha-crystallin-related, 1"
106568352,4,0,0,0,4,0,0,4,0,LOC106568352,"proline-rich extensin-like protein EPR1, transcript variant X1"
106568597,4,0,0,0,4,0,0,4,0,katnal2,"katanin p60 subunit A-like 2, transcript variant X7"
106570181,4,0,0,0,4,0,0,4,0,uncharacterized LOC106570181,uncharacterized LOC106570181
100194478,4,0,0,0,4,0,0,4,0,homeobox protein HoxA5ab,homeobox protein HoxA5ab
100195857,4,0,0,0,4,0,0,4,0,Carboxypeptidase A1,Carboxypeptidase A1
