Gene ID,Total,GB,Exon,Intron,P,P250,P1K,P5K,Flanks,Gene symbol,Gene name
106577539,27,27,0,27,0,0,0,0,0,LOC106577539,"neurexin-2-like, transcript variant X1"
106610067,18,18,0,18,0,0,0,0,0,LOC106610067,"uncharacterized LOC106610067, transcript variant X1"
106604876,18,17,0,17,0,0,0,0,1,LOC106604876,"protocadherin gamma-C5-like, transcript variant X13"
106610598,16,16,0,16,0,0,0,0,0,LOC106610598,ALK tyrosine kinase receptor-like
106612035,16,16,0,16,0,0,0,0,0,rbfox3,"RNA binding protein, fox-1 homolog (C. elegans) 3, transcript variant X5"
106567547,16,16,0,16,0,0,0,0,0,LOC106567547,kin of IRRE-like protein 3
106609934,15,15,0,15,0,0,0,0,0,LOC106609934,catenin alpha-2-like
106573702,15,15,0,15,0,0,0,0,0,LOC106573702,"cadherin-13-like, transcript variant X1"
106580806,15,15,0,15,0,0,0,0,0,LOC106580806,"limbic system-associated membrane protein-like, transcript variant X5"
106608688,15,12,0,12,0,0,0,0,3,LOC106608688,"neurexin-2-like, transcript variant X8"
106561306,14,14,1,13,0,0,0,0,0,lrrc4c,"leucine rich repeat containing 4C, transcript variant X4"
106603022,14,14,0,14,0,0,0,0,0,nrxn3,"neurexin 3, transcript variant X7"
106565046,14,14,0,14,0,0,0,0,0,LOC106565046,"receptor-type tyrosine-protein phosphatase T, transcript variant X18"
106586116,14,13,0,13,0,0,0,0,1,LOC106586116,inactive dipeptidyl peptidase 10-like
106612562,14,13,0,13,0,0,0,0,1,LOC106612562,"MDS1 and EVI1 complex locus protein EVI1-like, transcript variant X1"
106609202,14,13,0,13,0,0,0,0,1,macrod2,"MACRO domain containing 2, transcript variant X2"
106560870,14,13,0,13,0,0,0,0,1,LOC106560870,"cadherin-13-like, transcript variant X2"
106571620,14,11,0,11,0,0,0,0,3,LOC106571620,C-C chemokine receptor type 6-like
106565077,13,13,3,10,0,0,0,0,0,LOC106565077,"solute carrier family 12 member 5-like, transcript variant X1"
106603662,13,13,0,13,0,0,0,0,0,LOC106603662,"opioid-binding protein/cell adhesion molecule-like, transcript variant X3"
106612642,13,13,0,13,0,0,0,0,0,LOC106612642,"limbic system-associated membrane protein-like, transcript variant X3"
106602757,12,12,2,10,0,0,0,0,0,ctnna2,"catenin (cadherin-associated protein), alpha 2, transcript variant X2"
106590277,12,12,0,12,0,0,0,0,0,LOC106590277,"potassium voltage-gated channel subfamily H member 2-like, transcript variant X1"
106612471,12,12,0,12,0,0,0,0,0,LOC106612471,"glutamate receptor ionotropic, kainate 4-like, transcript variant X1"
106574338,12,12,0,12,0,0,0,0,0,LOC106574338,"neural cell adhesion molecule 2-like, transcript variant X2"
106613762,12,11,1,10,0,0,0,0,1,LOC106613762,"CUGBP Elav-like family member 5, transcript variant X8"
106610060,12,6,0,6,0,0,0,0,6,LOC106610060,"teneurin-3, transcript variant X2"
106586434,11,11,1,10,0,0,0,0,0,LOC106586434,"low-density lipoprotein receptor-related protein 1B-like, transcript variant X1"
106572259,11,11,1,10,0,0,0,0,0,LOC106572259,"protein bassoon-like, transcript variant X1"
106587057,11,11,0,11,0,0,0,0,0,LOC106587057,"protein kinase C-binding protein NELL1-like, transcript variant X1"
106604453,11,11,0,11,0,0,0,0,0,protein diaphanous homolog 2-like,protein diaphanous homolog 2-like
106561902,11,11,0,11,0,0,0,0,0,LOC106561902,protein kinase C-binding protein NELL1-like
106567800,11,11,0,11,0,0,0,0,0,LOC106567800,"teneurin-1-like, transcript variant X5"
106571404,11,11,0,11,0,0,0,0,0,LOC106571404,exostosin-1-like
106579432,11,11,0,11,0,0,0,0,0,LOC106579432,"cadherin-23-like, transcript variant X1"
106579565,11,11,0,11,0,0,0,0,0,LOC106579565,"dipeptidyl aminopeptidase-like protein 6, transcript variant X4"
106610987,11,1,0,1,0,0,0,0,10,LOC106610987,"fibroblast growth factor receptor-like 1, transcript variant X2"
106586852,10,10,7,3,0,0,0,0,0,LOC106586852,"VPS10 domain-containing receptor SorCS1-like, transcript variant X1"
106586418,10,10,6,4,0,0,0,0,0,LOC106586418,"semaphorin-5B-like, transcript variant X3"
106570400,10,10,2,8,0,0,0,0,0,LOC106570400,"CUB and sushi domain-containing protein 3-like, transcript variant X1"
106611587,10,10,1,9,0,0,0,0,0,LOC106611587,"leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2, transcript variant X3"
106582631,10,10,0,10,0,0,0,0,0,LOC106582631,"receptor-type tyrosine-protein phosphatase T-like, transcript variant X5"
106584037,10,10,0,10,0,0,0,0,0,LOC106584037,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B-like, transcript variant X1"
