Chromosome,Pos,Region,Mdiff,Q-value,Gene ID,Gene symbol,Gene name
NC_027300.1,155927006,Intron,70.95,3.4E-265,106572494,LOC106572494,putative protein TPRXL
NC_027300.1,38863961,Exon,45.12,1.2E-180,106602554,LOC106602554,"alpha-(1,6)-fucosyltransferase-like"
NC_027303.1,15219927,P1K,66.75,1.3E-178,106602610,LOC106602610,neurotrophin receptor-interacting factor homolog
NC_027317.1,7880634,Intron,53.95,2.2E-159,106576788,LOC106576788,DNA nucleotidylexotransferase-like
NC_027312.1,100912810,Flanks,-56.1,1.4E-156,106568511,LOC106568511,tubulin alpha-8 chain-like
NC_027309.1,66317449,P5K,47.05,6.3E-135,106561079,LOC106561079,40S ribosomal protein S13
NC_027304.1,50364764,Intron,59.67,2.8E-113,106605176,LOC106605176,uncharacterized protein YBL113C-like
NC_027310.1,66413922,Flanks,60.1,1.0E-110,106563270,LOC106563270,pappalysin-1-like
NC_027304.1,56846234,Intron,54.01,4.2E-104,106605327,LOC106605327,leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1
NC_027309.1,108142317,P1K,-45.92,1.1E-102,106561665,LOC106561665,ankyrin repeat and SOCS box protein 13-like
NC_027308.1,77618677,Flanks,87.5,1.2E-100,106612103,LOC106612103,inositol-trisphosphate 3-kinase B-like
NC_027300.1,115441574,Flanks,-53.19,3.7E-91,106562720,pi4ka,phosphatidylinositol 4-kinase alpha
NC_027313.1,75625102,Intron,31.1,1.1E-88,106570418,LOC106570418,protein tyrosine phosphatase type IVA 3
NC_027325.1,17578712,Intron,47.81,6.6E-88,106587217,LOC106587217,neuroplastin-like
NC_027304.1,36934005,Intron,74.66,2.7E-87,106604848,LOC106604848,platelet-derived growth factor receptor beta-like
NC_027308.1,77618685,Flanks,80.0,1.9E-85,106612103,LOC106612103,inositol-trisphosphate 3-kinase B-like
NC_027317.1,24227413,Intron,48.38,2.2E-84,106577121,cfap36,cilia and flagella associated protein 36
NC_027310.1,66413881,Flanks,59.15,6.9E-83,106563270,LOC106563270,pappalysin-1-like
NC_027311.1,51534880,P5K,-32.32,1.1E-81,106565378,LOC106565378,golgin subfamily A member 7-like
NC_027311.1,74229360,Flanks,43.27,3.4E-81,106565723,LOC106565723,bactericidal permeability-increasing protein-like
NC_027304.1,58774724,Intron,-32.83,1.1E-78,106605470,LOC106605470,calbindin-like
NC_027300.1,115441567,Flanks,-47.3,1.3E-78,106562720,pi4ka,phosphatidylinositol 4-kinase alpha
NC_027319.1,25632575,Intron,46.98,5.0E-78,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027311.1,10575883,Flanks,62.12,6.0E-75,106564399,LOC106564399,zinc finger protein 883-like
NC_027311.1,38257761,P1K,-67.07,1.6E-74,106565280,LOC106565280,E3 ubiquitin-protein ligase Itchy-like
NC_027315.1,34254628,P5K,-39.93,2.7E-74,106573665,spire2,spire type actin nucleation factor 2
NC_027321.1,47272500,Intron,68.3,2.8E-74,106583608,LOC106583608,tensin-2-like
NC_027304.1,41058309,Exon,-49.47,4.8E-73,106604954,LOC106604954,palladin-like
NC_027309.1,66317427,P5K,25.37,1.5E-72,106561079,LOC106561079,40S ribosomal protein S13
NC_027311.1,68410363,P5K,-65.56,2.8E-71,106565830,tmf1,TATA element modulatory factor 1
NC_027303.1,15219911,P1K,41.9,4.8E-70,106602610,LOC106602610,neurotrophin receptor-interacting factor homolog
NC_027319.1,31821491,Intron,-35.21,1.0E-68,106580457,LOC106580457,autism susceptibility gene 2 protein-like
NC_027319.1,42016176,Flanks,73.0,3.1E-68,106580649,LOC106580649,60S ribosomal protein L35a
NC_027315.1,41302501,Intron,52.82,3.5E-68,100380421,Receptor-type tyrosine-protein phosphatase-like N,Receptor-type tyrosine-protein phosphatase-like N
NC_027300.1,104709757,P5K,-44.28,8.0E-67,106560516,exocyst complex component 6B-like,exocyst complex component 6B-like
NC_027319.1,58213766,P1K,41.97,1.4E-66,106581187,LOC106581187,transcriptional adapter 2-alpha-like
NC_027301.1,44490526,Intron,33.24,2.1E-65,106588327,LOC106588327,E3 ubiquitin-protein ligase SMURF2-like
NC_027321.1,31989927,P1K,53.56,2.4E-65,100195379,dtx3l,deltex-3-like
NC_027319.1,19287279,Intron,-65.36,3.1E-65,106579947,LOC106579947,translational activator GCN1-like
NC_027318.1,54326090,Intron,80.25,1.2E-64,106579195,LOC106579195,ankyrin repeat and fibronectin type-III domain-containing protein 1-like
NC_027312.1,96628422,Intron,72.07,2.0E-64,106568430,LOC106568430,putative uncharacterized protein DDB_G0286901
NC_027302.1,39942432,Flanks,-35.6,8.3E-63,106600477,LOC106600477,supervillin-like
NC_027303.1,57013294,Intron,60.54,1.9E-62,106603640,LOC106603640,neural cell adhesion molecule 1-like
NC_027316.1,12740973,Flanks,33.88,2.0E-62,106575311,LOC106575311,heparan-sulfate 6-O-sulfotransferase 3-like
NC_027315.1,34254665,P5K,-35.41,3.6E-62,106573665,spire2,spire type actin nucleation factor 2
